director,title,year,imdbid,imdbrating,imdbvotes,movieid,plot,poster,released,runtime,tmdb
Andrew Niccol,Simone (S1m0ne),2002,0258153,6.1,51122,5530,"A producer's film is endangered when his star walks off, so he decides to digitally create an actress to substitute for the star, becoming an overnight sensation that everyone thinks is a real person.",http://ia.media-imdb.com/images/M/MV5BMTQ3MzU3MjQ3OV5BMl5BanBnXkFtZTcwOTU4NzgxMQ@@._V1_SX300.jpg,2002-08-23,117,9296
Tibor Takács,"Gate, The",1987,0093075,5.9,9901,2451,"Two young boys accidentally release a horde of nasty, pint-sized demons from a hole in a suburban backyard. What follows is a classic battle between good and evil as the two kids struggle ...",http://ia.media-imdb.com/images/M/MV5BMTI1NDE2MzkwOF5BMl5BanBnXkFtZTcwMDIzMTkzMQ@@._V1_SX300.jpg,1987-05-15,85,6917
Matt Aselton,Gigantic,2008,1176251,6.1,8288,70597,"A mattress salesman finds his plan to adopt a Chinese baby augmented by the arrival of a young woman, who comes into his workplace, falls asleep on one of the beds, and starts to affect his life upon waking up.",http://ia.media-imdb.com/images/M/MV5BMjIxMTUwMjIxM15BMl5BanBnXkFtZTcwMjY2NzAzMg@@._V1_SX300.jpg,2009-06-19,98,14940
Andreas Dresen,As We Were Dreaming,2015,3306858,6.3,622,128616,"In 1990s east Germany, three boys are in love with techno music and start their own club.",http://ia.media-imdb.com/images/M/MV5BNDRiYzJlYTMtZWE3My00Y2I1LWE2NjQtMGE4OWFlNTQxMzVlXkEyXkFqcGdeQXVyMjAwMzU2MDY@._V1_SX300.jpg,2015-02-26,117,311301
Andreas Dresen,Grill Point (Halbe Treppe),2002,0304126,7.2,1460,8070,"Two pairs, each married for quite a long time, are living in a small east German town. The film focuses on the relationships between each of the four people and what happens when an affair ...",http://ia.media-imdb.com/images/M/MV5BMTg1MDM5ODIzMF5BMl5BanBnXkFtZTYwNDk0ODc5._V1_SX300.jpg,2002-10-03,106,316
Jerry Ciccoritti,"Paris, France",1993,0107779,5.3,382,559,"Lucy (Leslie Hope), her husband Michael (Victor Ertmanis), and their business partner William (Dan Left) are the owners of a small publishing company in Toronto. The stability of their ...",http://ia.media-imdb.com/images/M/MV5BMTgyNzk4Mjk3Nl5BMl5BanBnXkFtZTcwNzIzNjcyMQ@@._V1_SX300.jpg,1994-02-04,112,161158
Kihachi Okamoto,"Sword of Doom, The (Dai-bosatsu tôge)",1966,0060277,8.1,6474,32387,"Through his unconscionable actions against others, a sociopath samurai builds a trail of vendettas that follow him closely.",http://ia.media-imdb.com/images/M/MV5BNTkxODUxMzMxNF5BMl5BanBnXkFtZTcwMTU1MTgyMQ@@._V1_SX300.jpg,1966-07-01,119,19884
George Haas,Friends & Lovers,1999,0143261,4.5,1268,2589,"Friends for ten years, a group of twenty-somethings head for the ski slopes as guests of Ian's father. (Ian and dad are estranged because dad worked too many hours when Ian was a lad.) Dad ...","http://ia.media-imdb.com/images/M/MV5BMjEzMDExNzU3MF5BMl5BanBnXkFtZTcwNzM3NTc0MQ@@._V1._CR21,16,317,460_SY132_CR1,0,89,132_AL_.jpg_V1_SX300.jpg",1999-04-16,103,114719
Jean-Pierre Dardenne,"Kid With a Bike, The (Le gamin au vélo)",2011,1827512,7.4,20511,86884,"Abandoned by his father, a young boy is left in a state-run youth farm. In a random act of kindness, the town hair-dresser agrees to foster him on week-ends.",http://ia.media-imdb.com/images/M/MV5BMTQ3OTE3MzAyMl5BMl5BanBnXkFtZTcwNDU1OTIzNw@@._V1_SX300.jpg,2011-05-18,87,63831
Jean-Pierre Dardenne,Lorna's Silence (Le silence de Lorna),2008,1186369,7.2,6705,70846,"Sokol and Lorna, two Albanian emigrants in Belgium, dream of leaving their dreary jobs to set up a snack bar. They need money, and a permanent resident status. Claudy is a junkie - he needs...",http://ia.media-imdb.com/images/M/MV5BMTc1MjI2MTk5NF5BMl5BanBnXkFtZTcwNzcxMjU2Mg@@._V1_SX300.jpg,2008-08-27,105,8899
Jean-Pierre Dardenne,Rosetta,1999,0200071,7.6,8757,3010,"Young and impulsive Rosetta lives with her alcoholic mother and, moved by despair, she will do anything to maintain a job.",http://ia.media-imdb.com/images/M/MV5BMTc0MDUzOTk2N15BMl5BanBnXkFtZTcwODAxOTI0MQ@@._V1_SX300.jpg,1999-09-22,95,11489
Jean-Pierre Dardenne,"Son, The (Le fils)",2002,0291172,7.7,6808,6008,"A joinery instructor at a rehab center refuses to take a new teen as his apprentice, but then begins to follow the boy through the hallways and streets.",http://ia.media-imdb.com/images/M/MV5BMTI3NzkzOTQ0NF5BMl5BanBnXkFtZTcwNDg2MjUyMQ@@._V1_SX300.jpg,2002-10-09,99,35172
Jean-Pierre Dardenne,"Two Days, One Night (Deux jours, une nuit)",2014,2737050,7.4,30002,113705,"Sandra, a young Belgian mother, discovers that her workmates have opted for a significant pay bonus, in exchange for her dismissal. She has only one weekend to convince her colleagues to give up their bonuses so that she can keep her job.",http://ia.media-imdb.com/images/M/MV5BMjIyMzczMDI0NF5BMl5BanBnXkFtZTgwNjI5Nzk3MTE@._V1_SX300.jpg,2014-05-21,95,221902
Kristen Coury,Friends and Family,2001,0206762,6.4,1268,6369,A gay couple are hit men for the mafia.,http://ia.media-imdb.com/images/M/MV5BMTkzODQ0ODgzMF5BMl5BanBnXkFtZTcwODEyMTAwMQ@@._V1_SX300.jpg,2004-06-17,87,23423
Damiano Damiani,Amityville II: The Possession,1982,0083550,5.4,7248,1326,"A family moves into their new home, which proves to be evil, resulting in the demonic possession of the teenage son. Only the local priest can save him.",http://ia.media-imdb.com/images/M/MV5BMTYwMTAyOTY4OF5BMl5BanBnXkFtZTcwNjMwODQ2NA@@._V1_SX300.jpg,1982-09-24,104,16235
Robert J. Flaherty,Nanook of the North,1922,0013427,7.8,7349,44587,"In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuit living in the Arctic Circle.",http://ia.media-imdb.com/images/M/MV5BMTg4Njk3MjU5Ml5BMl5BanBnXkFtZTgwOTIyODg5MTE@._V1_SX300.jpg,1922-06-11,79,669
Joe Charbanic,"Watcher, The",2000,0204626,5.3,21890,3895,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations ...",http://ia.media-imdb.com/images/M/MV5BMTM3NTM5NDYwMl5BMl5BanBnXkFtZTYwNzA0MTk5._V1_SX300.jpg,2000-09-08,97,10685
Charles Stone III,Drumline,2002,0303933,5.6,28225,5941,A band director recruits a Harlem street drummer to play at a Southern university.,http://ia.media-imdb.com/images/M/MV5BMjE1MTQ4OTg3OF5BMl5BanBnXkFtZTYwODEyMzg5._V1_SX300.jpg,2002-12-13,118,13497
Charles Stone III,Mr. 3000,2004,0339412,5.5,11946,8864,"Aging baseball star who goes by the nickname, Mr. 3000, finds out many years after retirement that he didn't quite reach 3,000 hits. Now at age 47 he's back to try and reach that goal.",http://ia.media-imdb.com/images/M/MV5BMTg5NTk2MTQ0NV5BMl5BanBnXkFtZTcwNjMyNTUyMQ@@._V1_SX300.jpg,2004-09-17,104,16232
Ping He,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",1994,0110769,6.9,429,309,"A woman inherits her father's fireworks factory, as he had no son. The business does well and everything works in an orderly fashion until one day, an itinerant painter is hired to decorate...",http://ia.media-imdb.com/images/M/MV5BMTY5NTU3NDgxNV5BMl5BanBnXkFtZTcwMTI4NzEzMQ@@._V1_SX300.jpg,1995-06-02,111,159185
Ping He,Warriors of Heaven and Earth (Tian di ying xiong),2003,0374330,6.4,3745,8832,"A Chinese emissary is sent to the Gobi desert to execute a renegade soldier. When a caravan transporting a Buddhist monk and a valuable treasure is threatened by thieves, however, the two warriors might unite to protect the travelers.",http://ia.media-imdb.com/images/M/MV5BMTMxMjQ2MzI3MV5BMl5BanBnXkFtZTcwMjM2NjYyMQ@@._V1_SX300.jpg,2003-09-23,120,14797
Anne Fletcher,27 Dresses,2008,0988595,6.1,120133,56949,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",http://ia.media-imdb.com/images/M/MV5BMzI5OTM0OTg2MF5BMl5BanBnXkFtZTcwNjAyMTU1MQ@@._V1_SX300.jpg,2008-01-18,111,6557
Anne Fletcher,"Guilt Trip, The",2012,1694020,5.8,29531,99106,"As inventor Andy Brewster is about to embark on the road trip of a lifetime, a quick stop at his mom's house turns into an unexpected cross-country voyage with her along for the ride.",http://ia.media-imdb.com/images/M/MV5BMTY5ODAxNDc0Nl5BMl5BanBnXkFtZTcwMzg0NDY1OA@@._V1_SX300.jpg,2012-12-19,95,82687
Anne Fletcher,Hot Pursuit,2015,2967224,5.1,30216,133798,An uptight and by-the-book cop tries to protect the outgoing widow of a drug boss as they race through Texas pursued by crooked cops and murderous gunmen.,http://ia.media-imdb.com/images/M/MV5BNzc0MDk0NDMwM15BMl5BanBnXkFtZTgwNTIzMjE1NTE@._V1_SX300.jpg,2015-05-08,87,268920
Anne Fletcher,"Proposal, The",2009,1041829,6.7,218277,69406,A pushy boss (Sandra Bullock) forces her young assistant (Ryan Reynolds) to marry her in order to keep her Visa status in the U.S. and avoid deportation to Canada.,http://ia.media-imdb.com/images/M/MV5BMTU1MzY1ODIyNV5BMl5BanBnXkFtZTcwNDU4NTE3Mg@@._V1_SX300.jpg,2009-06-19,108,18240
Anne Fletcher,Step Up,2006,0462590,6.5,87974,47382,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",http://ia.media-imdb.com/images/M/MV5BMTIxMDM5Mjc1Nl5BMl5BanBnXkFtZTcwMDkyODQzMQ@@._V1_SX300.jpg,2006-08-11,104,9762
Doug Atchison,Akeelah and the Bee,2006,0437800,7.5,14882,44709,A young girl from South Los Angeles tries to make it to the National Spelling Bee.,http://ia.media-imdb.com/images/M/MV5BMTUzMDIwNjIzM15BMl5BanBnXkFtZTcwNTczODQzMQ@@._V1_SX300.jpg,2006-04-28,112,13751
Fernando Barreda Luna,Atrocious,2010,1734067,5.1,3948,108447,Two teenage siblings endure a terrifying experience while investigating a rural legend near their family's vacation home.,http://ia.media-imdb.com/images/M/MV5BMjAxMTcxMDY5NF5BMl5BanBnXkFtZTcwMTc2MTgwNg@@._V1_SX300.jpg,2011-08-17,75,71622
James McTeigue,Ninja Assassin,2009,1186367,6.4,57210,72489,"A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",http://ia.media-imdb.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1_SX300.jpg,2009-11-25,99,22832
James McTeigue,"Raven, The",2012,1486192,6.4,71385,93982,"When a madman begins committing horrific murders inspired by Edgar Allan Poe's works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality.",http://ia.media-imdb.com/images/M/MV5BMjE4MjU4ODUxOF5BMl5BanBnXkFtZTcwMTk5NTY2Nw@@._V1_SX300.jpg,2012-04-27,110,70436
James McTeigue,Survivor,2015,3247714,5.6,19578,134246,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",http://ia.media-imdb.com/images/M/MV5BMjE5NDM5MTQ0MF5BMl5BanBnXkFtZTgwMDEzNTUxNTE@._V1_SX300.jpg,2015-05-29,96,334074
James McTeigue,V for Vendetta,2005,0434409,8.2,760039,44191,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of V, plots to overthrow it with the help of a young woman.",http://ia.media-imdb.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_SX300.jpg,2006-03-17,132,752
Jonah Markowitz,Shelter,2007,0942384,7.9,15140,59549,"When his college dreams are sidelined by family obligations, a young man finds comfort in surfing with his best friend's brother.",http://ia.media-imdb.com/images/M/MV5BMTQwMjcxMjc5MF5BMl5BanBnXkFtZTcwODAzNzc5MQ@@._V1_SX300.jpg,2009-04-16,97,17483
Liam Lynch,Sarah Silverman: Jesus Is Magic,2005,0422528,6.6,4845,40946,"Narrative digressions on sex, race, politics, and more from comedienne Sarah Silverman.",http://ia.media-imdb.com/images/M/MV5BMTYxOTUzOTU3N15BMl5BanBnXkFtZTcwNzE4ODUzMQ@@._V1_SX300.jpg,2005-12-09,72,16156
Liam Lynch,Tenacious D in The Pick of Destiny,2006,0365830,6.8,83017,49396,"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers -- a magical guitar pick housed in a rock-and-roll museum some 300 miles away.",http://ia.media-imdb.com/images/M/MV5BMTUyMDA3OTc4MV5BMl5BanBnXkFtZTcwNzE5NjkzMQ@@._V1_SX300.jpg,2006-11-22,93,2179
Perry Andelin Blake,"Master of Disguise, The",2002,0295427,3.3,17858,5501,An Italian waiter fights off a criminal mastermind with his inherited powers of disguise.,http://ia.media-imdb.com/images/M/MV5BMTk5MzI4MDM3MV5BMl5BanBnXkFtZTcwNjI0ODYxMQ@@._V1_SX300.jpg,2002-08-02,80,13908
Neil Marshall,Centurion,2010,1020558,6.4,63103,79796,A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.,http://ia.media-imdb.com/images/M/MV5BMTQ4NTI1MTEzM15BMl5BanBnXkFtZTcwNDc3NDc1Mw@@._V1_SX300.jpg,2010-07-30,97,23759
Neil Marshall,"Descent, The",2005,0435625,7.2,149349,40732,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",http://ia.media-imdb.com/images/M/MV5BMjA5NzQ1NTgwNV5BMl5BanBnXkFtZTcwNjUxMzUzMw@@._V1_SX300.jpg,2006-08-04,99,9392
Neil Marshall,Dog Soldiers,2002,0280609,6.9,44405,5833,A routine military exercise turns into a nightmare in the Scotland wilderness.,http://ia.media-imdb.com/images/M/MV5BMTUzNzAzMDgzOF5BMl5BanBnXkFtZTYwMzQ4NTk2._V1_SX300.jpg,2002-05-10,105,11880
Neil Marshall,Doomsday,2008,0483607,6,61820,58297,A futuristic action thriller where a team of people work to prevent a disaster threatening the future of the human race.,http://ia.media-imdb.com/images/M/MV5BMTUwODU2NzE2OF5BMl5BanBnXkFtZTcwMTAwMDA2MQ@@._V1_SX300.jpg,2008-03-14,105,13460
Donal Lardner Ward,"Suburbans, The",1999,0157075,4.3,1968,3001,"An 80's one-hit wonder band named The Suburbans reform for a special performance at one of the ex-member's wedding. At the wedding, a young record company talent scout happens to be in the ...",http://ia.media-imdb.com/images/M/MV5BMTg3OTMzNjE2OV5BMl5BanBnXkFtZTcwNjY4MTkxMQ@@._V1_SX300.jpg,2000-01-19,81,46286
Randall Wallace,"Man in the Iron Mask, The",1998,0120744,6.4,121760,1801,The cruel King Louis XIV of France has a secret twin brother who he keeps imprisoned. Can the twin be substituted for the real king?,http://ia.media-imdb.com/images/M/MV5BMTczMDg2NTEyNF5BMl5BanBnXkFtZTcwMTY1ODE1NA@@._V1_SX300.jpg,1998-03-13,132,9313
Randall Wallace,Secretariat,2010,1028576,7.2,20178,80839,"Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.",http://ia.media-imdb.com/images/M/MV5BMTgwNDkyMDU3NV5BMl5BanBnXkFtZTcwNjMyNjI4Mw@@._V1_SX300.jpg,2010-10-08,123,39486
Randall Wallace,We Were Soldiers,2002,0277434,7.1,100064,5152,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,http://ia.media-imdb.com/images/M/MV5BMTc5ODcxODM3NV5BMl5BanBnXkFtZTgwOTg3NjQxMTE@._V1_SX300.jpg,2002-03-01,138,10590
Kent Alterman,Semi-Pro,2008,0839980,5.8,65728,58156,"Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true",http://ia.media-imdb.com/images/M/MV5BMTc1MjQ4NTc3M15BMl5BanBnXkFtZTcwMTc3NTg1MQ@@._V1_SX300.jpg,2008-02-29,91,13260
John Fawcett,Ginger Snaps,2000,0210070,6.8,32378,6820,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.",http://ia.media-imdb.com/images/M/MV5BMTkzMjE0MDAwOF5BMl5BanBnXkFtZTcwMzIxNjAwMQ@@._V1_SX300.jpg,2001-05-11,108,9871
Frieder Schlaich,Halfmoon (Paul Bowles - Halbmond),1995,0114103,7,41,721,"Three short stories by the American expatriate, Paul Bowles, are brought to sinister life - 'Merkala Beach', 'Call at Corazon' and the haunting 'Allal'.",http://ia.media-imdb.com/images/M/MV5BMTI0NDYyNDcwMF5BMl5BanBnXkFtZTcwMTY1OTMzMQ@@._V1_SX300.jpg,1996-01-16,95,
Gary Goddard,Masters of the Universe,1987,0093507,5.3,27281,4133,A prince turned warrior named He-Man battles against the dark lord Skeletor on the planet Eternia. He-Man and his comrades arrive on Earth and discover two teenage lovers to find the magical Cosmic Key.,http://ia.media-imdb.com/images/M/MV5BMTMzMTc2MDc1M15BMl5BanBnXkFtZTcwMTM4ODAwMQ@@._V1_SX300.jpg,1987-08-07,106,11649
Andrew Scheinman,Little Big League,1994,0110363,6,7660,569,A young boy is bequeathed the ownership of a professional baseball team.,http://ia.media-imdb.com/images/M/MV5BMTcyMDE3MzU0OF5BMl5BanBnXkFtZTcwNDM0NTIyMQ@@._V1_SX300.jpg,1994-06-29,119,31504
Jen Soska,American Mary,2012,1959332,6.3,15865,103299,"The allure of easy money sends Mary Mason, a medical student, into the world of underground surgeries which ends up leaving more marks on her than her so called freakish clients.",http://ia.media-imdb.com/images/M/MV5BODM4ODk4MTU2MV5BMl5BanBnXkFtZTcwNTk0MzczOQ@@._V1_SX300.jpg,2013-01-11,103,126277
Christopher Cain,"Amazing Panda Adventure, The",1995,0112342,5.8,2998,146,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.,http://ia.media-imdb.com/images/M/MV5BNzM2MjM0MzI3OF5BMl5BanBnXkFtZTcwOTc2MDcxMQ@@._V1_SX300.jpg,1995-08-25,84,30765
Christopher Cain,Gone Fishin',1997,0119214,4.6,7884,870,Two fishing fanatics get in trouble when their fishing boat gets stolen while on a trip.,http://ia.media-imdb.com/images/M/MV5BMTk0NDI0OTc4M15BMl5BanBnXkFtZTcwMzYxNjUyMQ@@._V1_SX300.jpg,1997-05-30,94,9054
Christopher Cain,"Next Karate Kid, The",1994,0110657,4.3,17717,502,Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.,http://ia.media-imdb.com/images/M/MV5BMTYwODUyNTA4Nl5BMl5BanBnXkFtZTYwOTgyMjU5._V1_SX300.jpg,1994-09-09,107,11231
Christopher Cain,"Principal, The",1987,0093780,6.2,6566,5521,A teacher is assigned to be the principal of a violent and crime ridden high school.,http://ia.media-imdb.com/images/M/MV5BMTI5NDYyMDE5OV5BMl5BanBnXkFtZTcwODYwNjkyMQ@@._V1_SX300.jpg,1987-09-18,109,10081
Christopher Cain,That Was Then... This Is Now,1985,0090151,6.2,1674,6906,"Two juvenile delinquents find themselves growing apart, for one is growing up, and the other is staying young and reckless.",http://ia.media-imdb.com/images/M/MV5BMTc3MzI3MzM2M15BMl5BanBnXkFtZTcwMzAxMDcxMQ@@._V1_SX300.jpg,1985-11-08,102,64945
Christopher Cain,Young Guns,1988,0096487,6.8,41345,1378,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",http://ia.media-imdb.com/images/M/MV5BMjEzMzIyMjM3NV5BMl5BanBnXkFtZTcwMjgxNDcxMQ@@._V1_SX300.jpg,1988-08-12,107,11967
Ere Kokkonen,Numbskull Emptybrook (Uuno Turhapuro),1973,0070860,6,705,66246,"Uuno Turhapuro is a man who can convince anyone of anything by simply talking them into submission. Uuno learns to play the violin and becomes famous, but discovers that fame is both a gift and a curse.",null,1973-08-24,87,36764
Sebastian Schipper,Absolute Giganten,1999,0177507,7.8,3261,61013,"In the port town of Hamburg, Germany, Floyd decides that he's shipping out to South Africa and Singapore now that his two-year probation for an unspecified juvenile offense has been ...",http://ia.media-imdb.com/images/M/MV5BMTg2NTQxNDQyOV5BMl5BanBnXkFtZTcwMjE4MjAzMQ@@._V1_SX300.jpg,1999-09-30,80,1661
Sebastian Schipper,"Friend of Mine, A (Ein Freund von mir)",2006,0441762,7,3357,64321,"An introverted insurance executive at a car rental service is annoyed by his hyperactive, garrulous coworker, but the two end up becoming friends.",http://ia.media-imdb.com/images/M/MV5BMTQ1NzExMDcwMV5BMl5BanBnXkFtZTcwNjAyMzY0MQ@@._V1_SX300.jpg,2006-10-26,84,1964
Sebastian Schipper,Victoria,2015,4226388,7.8,18153,128620,A young Spanish woman who has newly moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,http://ia.media-imdb.com/images/M/MV5BMTc5NzQzNjk2NF5BMl5BanBnXkFtZTgwODU0MjI5NjE@._V1_SX300.jpg,2015-06-11,138,320007
Sanjay Leela Bhansali,Bajirao Mastani,2015,3735246,7.3,14276,149606,"A historical account of the romance between the Maratha general, Baji Rao I and Mastani, a Muslim princess.",http://ia.media-imdb.com/images/M/MV5BMWI3YTA1MDktYWNjOS00MTE5LTkzMTQtOWNiODY2MjIzYTQwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg,2015-12-18,158,362045
Alan Rickman,"Winter Guest, The",1997,0120521,7.1,2808,1728,A recent widow who is determined to leave Scotland for Australia with her son gets an unexpected visit from her aging mother.,http://ia.media-imdb.com/images/M/MV5BMzgzMTY5ODY3M15BMl5BanBnXkFtZTcwNjM1MDEzMQ@@._V1_SX300.jpg,1997-12-24,108,25994
Henriette Mantel,"Unreasonable Man, An",2006,0492499,7.9,1542,55156,A look at the career of consumer advocate Ralph Nader from wannabe presidential candidate to public pariah.,http://ia.media-imdb.com/images/M/MV5BMTYwOTE0OTcyMV5BMl5BanBnXkFtZTcwNDg5MzE0MQ@@._V1_SX300.jpg,2006-01-24,122,30365
Josh Trank,Chronicle,2012,1706593,7.1,197846,92420,"Whilst attending a party, three high school friends gain superpowers after making an incredible discovery underground. Soon, though, they find their lives spinning out of control and their bond tested as they embrace their darker sides.",http://ia.media-imdb.com/images/M/MV5BMjEzMjYzMDQ0MV5BMl5BanBnXkFtZTcwNzE1OTM5Ng@@._V1_SX300.jpg,2012-02-03,84,76726
Josh Trank,Fantastic Four,2015,1502712,4.3,93989,122902,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,http://ia.media-imdb.com/images/M/MV5BMTk0OTMyMDA0OF5BMl5BanBnXkFtZTgwMzY5NTkzNTE@._V1_SX300.jpg,2015-08-07,100,166424
Joseph Green,"Brain That Wouldn't Die, The",1962,0052646,4.1,4637,3833,"A doctor experimenting with transplant techniques keeps his girlfriend's head alive when she is decapitated in a car crash, then goes hunting for a new body.","http://ia.media-imdb.com/images/M/MV5BMTUyMjM5NzU3MV5BMl5BanBnXkFtZTgwODY1NjIxMzE@._V1._CR48,47,273,392_SY132_CR1,0,89,132_AL_.jpg_V1_SX300.jpg",1962-08-10,82,33468
Robin Hardy,"Wicker Man, The",1973,0070917,7.6,45718,4754,A police sergeant is sent to a Scottish island village in search of a missing girl whom the townsfolk claim never existed. Stranger still are the rites that take place there.,http://ia.media-imdb.com/images/M/MV5BMjE0Mzk1NzQ2OF5BMl5BanBnXkFtZTgwMTkzNTE0NjE@._V1_SX300.jpg,1975-06-01,88,16307
Bruce Beresford,Black Robe,1991,0101465,7.1,5252,4688,A young Jesuit priest seeks to convert the Indian tribes in Canada while also trying to survive the harsh winter.,http://ia.media-imdb.com/images/M/MV5BODA5NDQ4NzQ0NF5BMl5BanBnXkFtZTYwMjU3MDM5._V1_SX300.jpg,1991-10-04,101,41784
Bruce Beresford,Breaker Morant,1980,0080310,7.9,10003,3811,Three Australian lieutenants are court martialed for executing prisoners as a way of deflecting attention from war crimes committed by their superior officers.,http://ia.media-imdb.com/images/M/MV5BODQ5ODI1MzMzM15BMl5BanBnXkFtZTcwNTI5NzYyMQ@@._V1_SX300.jpg,1980-07-03,107,13783
Bruce Beresford,Crimes of the Heart,1986,0090886,6.4,2764,2738,"Three sisters with quite different personalities and lives reunite when the youngest of them, Babe, has just shot her husband. The oldest sister, Lenny, takes care of their grandfather and ...",http://ia.media-imdb.com/images/M/MV5BMTUyNzUwODM5N15BMl5BanBnXkFtZTgwMjkxNDkwMzE@._V1_SX300.jpg,1987-01-23,105,48259
Bruce Beresford,Double Jeopardy,1999,0150377,6.4,55003,2881,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",http://ia.media-imdb.com/images/M/MV5BMTQ3OTU3MTIyNV5BMl5BanBnXkFtZTcwMDY0NjIyMQ@@._V1_SX300.jpg,1999-09-24,105,10398
Bruce Beresford,Driving Miss Daisy,1989,0097239,7.4,70122,1962,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,http://ia.media-imdb.com/images/M/MV5BMTI2Njg4MDM5MF5BMl5BanBnXkFtZTYwMDk4NjM5._V1_SX300.jpg,1990-01-26,99,403
Bruce Beresford,Evelyn,2002,0298856,7.1,5293,5947,"1953. Desmond Doyle is devastated when his wife abandons their family on the day after Christmas. His unemployment and the fact that there is no woman in the house to care for the children,...",http://ia.media-imdb.com/images/M/MV5BMTYwNjUwNTkxOF5BMl5BanBnXkFtZTYwMzA1MDg5._V1_SX300.jpg,2002-12-25,94,21868
Bruce Beresford,Her Alibi,1989,0097500,5.7,5390,4603,"A writer of BAD detective novels is in full writers' block. He pretends to be the alibi of a beautiful woman who was arrested for murder at first thinking her innocent, but as she shows ...",http://ia.media-imdb.com/images/M/MV5BMTk2MDc5OTE4M15BMl5BanBnXkFtZTcwNTIwNTEyMQ@@._V1_SX300.jpg,1989-02-03,94,17819
Bruce Beresford,Last Dance,1996,0116827,5.8,3265,726,"Upon taking a new job, young lawyer Rick Hayes is assigned to the clemency case of Cindy Liggett, a woman convicted of first degree murder and sentenced to death. As Hayes investigates the ...",http://ia.media-imdb.com/images/M/MV5BMTYzNDMyNjEwOF5BMl5BanBnXkFtZTcwNjQ1MjAyMQ@@._V1_SX300.jpg,1996-05-03,103,46063
Bruce Beresford,Paradise Road,1997,0119859,6.8,4051,1507,Fact-based recounting of a group of women who are imprisoned on the island of Sumatra by the Japanese during World War II and used music as a relief to their misery.,http://ia.media-imdb.com/images/M/MV5BMTgzOTA1MzYxM15BMl5BanBnXkFtZTcwMzc5NDIyMQ@@._V1_SX300.jpg,1997-04-11,122,77223
Bruce Beresford,Silent Fall,1994,0111187,5.9,2918,3848,"An autistic boy witnesses his parents' double murder. Richard Dreyfuss as a controversial therapist, seeks to probe the child's mind in order to solve the case.",http://ia.media-imdb.com/images/M/MV5BNDI3MDg1MzMwOV5BMl5BanBnXkFtZTcwNjE3MTYyMQ@@._V1_SX300.jpg,1994-10-28,101,39473
Bruce Beresford,Tender Mercies,1983,0086423,7.5,7011,2070,"A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together.",http://ia.media-imdb.com/images/M/MV5BMTI1MDU4MjY5NF5BMl5BanBnXkFtZTcwMTU0MDczMQ@@._V1_SX300.jpg,1983-06-10,92,42121
